SatelliteCatalogNumber,ElsetClassification,InternationalDesignator,ElementSetEpoch(UTC),1stDerivativeMeanMotion,2ndDerivativeMeanMotion,b*DragTerm,ElementSetType,ElementNumber,Checksum,OrbitInclination,Eccentricity,ArgumentofPerigee,MeanAnomaly,MeanMotion,RevolutionNumberatEpoch,Checksum(2)
130, U, 61015Q, 20122.22304173, -.00000047, +00000-0, +21384-4, 0, 066.7731, 037.9384, 0080041, 057.4184, 303.4595, 13.98710107, 99845, 3
131, U, 61015R, 20121.90148896, +.00000003, +00000-0, +53765-4, 0, 066.7347, 278.1788, 0082538, 194.4523, 165.4199, 14.00682686, 98989, 4
132, U, 61015S, 20122.18640273, -.00000052, +00000-0, +19482-4, 0, 066.6588, 101.3787, 0082259, 260.4197, 098.7581, 13.94318940, 99162, 6
133, U, 61015T, 20122.23688601, +.00000325, +00000-0, +19472-3, 0, 067.1143, 120.3353, 0047604, 125.1750, 235.3819, 14.18184659, 01576, 7
134, U, 61015U, 20122.23324825, -.00000015, +00000-0, +43412-4, 0, 066.8785, 151.6059, 0082390, 000.5449, 359.5708, 13.96827998, 99305, 6
136, U, 61015W, 20122.44916175, .00000133, 00000-0, 75028-4, 0, 67.5305, 236.7049, 0061703, 269.0915, 90.3122, 14.33547345, 3591, 2
138, U, 61015Y, 20122.23444074, +.00000105, +00000-0, +11922-3, 0, 067.1548, 195.6169, 0025854, 063.6083, 296.7653, 14.01694635, 98895, 8
141, U, 61015AB, 20122.21275220, +.00000051, +00000-0, +10906-3, 0, 066.5872, 126.2015, 0048260, 063.4712, 297.1299, 13.86863208, 96140, 6
144, U, 61015AE, 20122.19274823, +.00000019, +00000-0, +78980-4, 0, 066.4985, 157.6231, 0045487, 338.1340, 021.7793, 13.90080816, 97347, 9
145, U, 61015AF, 20122.23989247, +.00000072, +00000-0, +97681-4, 0, 066.9252, 161.8495, 0059306, 149.5820, 210.8729, 14.01336776, 00298, 4
147, U, 61015AH, 20122.19799197, +.00000345, +00000-0, +20196-3, 0, 066.6208, 027.3996, 0057356, 203.9952, 155.8466, 14.19071799, 01650, 9
148, U, 61015AJ, 20122.22633288, +.00000135, +00000-0, +12359-3, 0, 065.7760, 208.7848, 0146998, 015.1457, 345.3951, 14.05692641, 44401, 4
150, U, 61015AL, 20122.10862678, -.00000029, +00000-0, +46142-4, 0, 066.2509, 009.9319, 0054083, 116.8258, 243.8356, 13.81236215, 79918, 5
152, U, 61015AN, 20122.82235146, .00000282, 00000-0, 18580-3, 0, 66.5883, 249.6159, 0161551, 275.1838, 83.0836, 14.09223355, 1063, 7
154, U, 61015AQ, 20122.19262461, +.00000087, +00000-0, +10202-3, 0, 066.6607, 022.4927, 0077000, 112.0802, 248.8482, 14.04471673, 00220, 4
155, U, 61015AR, 20122.19401255, +.00000356, +00000-0, +14057-3, 0, 066.8797, 086.8006, 0048108, 205.1072, 154.7694, 14.39241371, 03808, 2
158, U, 61015AU, 20122.49079450, .00000124, 00000-0, 45989-3, 0, 67.0731, 260.3973, 0607962, 162.3530, 199.9661, 12.65237697, 72217, 8
159, U, 61015AV, 20122.23022331, -.00000072, +00000-0, -85174-5, 0, 065.5228, 138.3418, 0381338, 290.7151, 065.3395, 13.02052751, 78939, 7
162, U, 61017A, 20122.15973071, -.00000135, 00000-0, 81053-5, 0, 47.8993, 94.4747, 0045484, 249.8130, 109.7867, 14.44054019, 9349, 3
163, U, 61018A, 20122.13870453, +.00000020, +00000-0, +66030-2, 0, 091.1936, 107.4248, 0102921, 091.9096, 269.3567, 08.91835848, 91447, 3
167, U, 61017D, 20122.10744792, -.00000326, +00000-0, -73700-4, 0, 047.8444, 159.5005, 0092506, 312.1863, 047.1193, 14.22752836, 04588, 8
172, U, 61015AY, 20122.19932799, +.00000114, +00000-0, +23932-3, 0, 067.0687, 242.6860, 0137778, 215.9035, 143.2712, 13.57465091, 90119, 3
177, U, 61015BB, 20122.25361245, +.00000203, +00000-0, +14121-3, 0, 066.6601, 155.1276, 0121625, 217.1181, 142.1454, 14.13473047, 02476, 1
178, U, 61015BC, 20122.28864547, -.00000020, 00000-0, 42909-4, 0, 66.8662, 66.8946, 0076499, 155.8026, 204.6679, 13.92361503, 98607, 0
188, U, 61018C, 20121.90526077, .00000002, 00000-0, 47501-3, 0, 91.1879, 110.1103, 0105001, 328.5799, 30.8833, 8.93802025, 91853, 9
192, U, 61028A, 20122.08591010, +.00000022, +00000-0, +11645-1, 0, 095.8511, 112.9198, 0139333, 358.5543, 001.4894, 08.67760537, 85402, 3
194, U, 61028C, 20121.97585439, .00000014, 00000-0, 77198-2, 0, 95.8335, 134.6530, 0374657, 230.0555, 126.6816, 8.70051116, 85888, 9
195, U, 61028D, 20121.37723053, -.00000004, +00000-0, -44653-3, 0, 095.8668, 095.5437, 0145861, 079.4445, 282.2801, 08.65616240, 84932, 7
196, U, 61018D, 20121.90472720, +.00000032, +00000-0, +11272-1, 0, 091.2015, 105.6489, 0096518, 228.0355, 131.2261, 08.89670960, 90964, 0
202, U, 61031A, 20122.19899115, +.00000056, +00000-0, +40521-4, 0, 032.4389, 049.1082, 0101183, 139.0887, 221.7379, 13.63536882, 91533, 6
204, U, 61031C, 20122.24705696, +.00000025, +00000-0, +14780-5, 0, 032.4409, 128.9945, 0098807, 200.5648, 159.0979, 13.64874109, 91707, 2
205, U, 61031B, 20122.24318205, +.00000046, +00000-0, +28204-4, 0, 032.4399, 182.2492, 0102370, 292.3428, 066.6370, 13.62412058, 91367, 6
210, U, 61015BE, 20122.19617176, +.00000145, +00000-0, +19169-3, 0, 066.4560, 111.9036, 0056121, 277.3890, 082.0808, 13.86009135, 95498, 1
223, U, 61015BK, 20122.10199750, -.00000043, +00000-0, +26360-4, 0, 066.8916, 347.5799, 0062455, 123.8023, 236.9024, 13.88640153, 98008, 0
224, U, 61015BL, 20122.25984303, +.00000069, +00000-0, +86152-4, 0, 066.7383, 044.2791, 0064756, 179.1008, 341.2760, 14.07994529, 99711, 4
225, U, 61015BM, 20122.05788140, +.00000125, +00000-0, +74903-4, 0, 066.8018, 355.7031, 0102662, 093.8880, 267.3964, 14.31467824, 03686, 7
226, U, 62002A, 20122.14860667, -.00000135, 00000-0, 10943-4, 0, 48.2974, 46.0828, 0077872, 41.9590, 318.7240, 14.45673825, 6540, 8
227, U, 62002B, 20121.76756480, -.00000079, 00000-0, 27313-4, 0, 48.1480, 302.8867, 0132094, 214.0150, 145.2222, 14.38255441, 4268, 9
228, U, 62002C, 20121.97185755, +.00000147, +00000-0, +31448-4, 0, 048.4307, 015.0752, 0014491, 087.7322, 272.5261, 15.01315419, 10408, 6
230, U, 61015BN, 20122.20111598, -.00000034, +00000-0, +30184-4, 0, 066.8815, 146.0657, 0096279, 342.2733, 017.4996, 13.96108249, 99331, 1
232, U, 61015BQ, 20122.11394129, -.00000017, 00000-0, 41798-4, 0, 66.8224, 356.2257, 0065100, 261.4855, 97.8847, 13.99272727, 99423, 9
233, U, 61015BR, 20122.48274767, .00000640, 00000-0, 14819-3, 0, 66.8497, 294.3802, 0021739, 79.8878, 280.4688, 14.61569465, 4982, 3
