,SatelliteCatalogNumber,ElsetClassification,InternationalDesignator,ElementSetEpoch(UTC),1stDerivativeMeanMotion,2ndDerivativeMeanMotion,b*DragTerm,ElementSetType,ElementNumber,Checksum,OrbitInclination,RightAscension,Eccentricity,ArgumentofPerigee,MeanAnomaly,MeanMotion,RevolutionNumberatEpoch,Checksum(2),OrbitalPeriod,SemiMajorAxis,U,Ux,Probability
6746,25904,U,94016D,20121.91608639,0.00015014,71249-6,28235-3,0,999,1,34.5105,332.8926,0.27159720000000004,93.1506,297.9417,10.02591266,65630,1,8617.669326475061,9084.205415053975,0.6462858994803994,0.11206103877656406,5.956156085691946e-07
6776,25968,U,99063B,20121.82912044,0.00013513,+00000-0,+65120-3,0,999,3,26.8446,329.3479,0.5241156,1.0647,359.7563,5.30310118,30180,3,16292.353675213115,13889.382832937019,0.5801621572196086,0.16083585124811403,2.4722089033058183e-07
6831,26037,U,87079W,20113.40391327,0.00017352,00000-0,60853-2,0,999,7,64.6254,253.9881,0.5637890999999999,172.585,201.9829,4.55205936,36030,2,18980.42032562598,15377.920553572862,1.221892322601799,0.10843719414814747,3.3131275731028195e-07
6835,26048,U,65108AG,20122.03542516,3.69e-06,+00000-0,+31506-3,0,999,9,26.5124,49.5668,0.6360176,330.796,5.2272,3.47514083,25394,3,24862.30176749413,18410.035163319324,0.5965550831978663,0.12083342674154345,2.2430341659311107e-07
6839,26053,U,00001B,20122.18118668,6.255e-05,+00000-0,+69493-3,0,999,5,25.9291,106.1642,0.6155359,5.2204,358.9803,3.83804021,23349,9,22511.489008084154,17230.446981238958,0.5887223572690262,0.166898349108476,1.8069476154657509e-07
6851,26072,U,00007B,20122.508377,0.00010372,00000-0,44188-3,0,999,2,18.1021,218.4676,0.402298,319.2747,16.7045,7.42669905,41458,7,11633.701516422698,11096.15054699033,0.40302309274259246,0.13091261600292525,4.294406738130904e-07
6870,26096,U,00012B,20121.73484323,3.361e-05,+00000-0,+14688-2,0,999,8,5.1649,18.9571,0.7081886,35.6797,355.3805,2.51943873,17558,3,34293.352313433716,22812.1922638404,0.35079005829258847,0.15944729606312988,3.593344851413305e-07
6873,26102,U,00014A,20122.21526162,4.486e-05,00000-0,67241-4,0,999,4,97.5106,2.0434,0.0009112,48.4686,311.734,15.55478707,11717,8,5554.560124235761,6778.394543091223,1.5037679740500554,0.000906771003156037,0.00015184665176238557
6875,26106,U,00015A,20122.1655934,-2e-07,+00000-0,+59057-4,0,999,4,64.7782,347.1515,0.5622616,11.1987,357.4677,4.58697124,33513,2,18835.958518022017,15299.792680255112,1.2239822265488054,0.11613440788224931,3.1186623682548507e-07
6963,26299,U,00020B,20122.2379041,0.00013856,+00000-0,+91816-3,0,999,4,7.5237,68.0131,0.5720725,317.4949,10.1804,4.51976673,26359,5,19116.030795686664,15451.081265666728,0.32561716823911674,0.16712015640086855,3.9250969639430074e-07
6980,26358,U,00024C,20122.17773958,1.18e-06,+00000-0,+10558-3,0,999,6,28.9289,118.3478,0.71522,8.7127,358.9725,2.38390376,654,3,36243.07383952446,23668.84569191157,0.6539368546139924,0.09018202078526343,2.0855612145420212e-07
6994,26383,U,00032B,20122.17630265,6.34e-05,00000-0,46152-3,0,999,8,27.269,300.1366,0.6294849,264.699,25.5758,3.65122554,21529,1,23663.287587542458,17813.275454757444,0.6166777441724769,0.18155400736412278,1.579725407316424e-07
7000,26389,U,00034B,20122.03304769,3.645e-05,+00000-0,+36549-3,0,999,2,26.902,348.9441,0.5409983,341.9932,4.6126,4.98988091,29806,1,17315.042494671477,14464.700204482777,0.5832744098192933,0.14864403657320008,2.5254905085801543e-07
7036,26488,U,00052B,20121.72866706,-5.6e-07,+00000-0,+19819-3,0,999,6,6.9292,154.9652,0.72216,52.5061,353.4882,2.29605395,16174,0,37629.77781946282,24268.79231473997,0.34953742636904633,0.08772662866508446,4.4254655253247465e-07
7037,26490,U,00046D,20122.25043483,5.53e-06,00000-0,17344-3,0,999,2,2.9023,111.9909,0.6970788,182.071,171.8846,2.66045969,17647,0,32475.59071267116,21998.771833056187,0.33456669287664376,0.15356948041950622,6.680615346390262e-07
7090,26591,U,00068B,20122.28818084,7.53e-06,00000-0,33256-3,0,999,0,6.8738,354.7545,0.6716460999999999,342.7284,2.6377,3.00106727,18932,5,28789.757851712537,20301.07662628559,0.34687046232502294,0.1493685639016364,3.398347620259017e-07
7109,26636,U,00080B,20122.23294794,2.557e-05,+00000-0,+35734-3,0,999,2,26.2479,101.7092,0.6417510000000001,199.0963,117.0473,3.44940358,1112,4,25047.80840982371,18501.497621236525,0.600776313855535,0.16846678096102666,1.6232480966568e-07
7125,26678,U,80085E,20110.81021158,0.0027997,00000-0,66109-1,0,999,7,63.5613,6.202,0.7302113,38.6306,355.5475,2.25916108,15879,6,38244.284909511625,24532.290137100445,1.251519516669846,0.18551213354872814,9.93358219474278e-08
7133,26696,U,01005C,20122.03286182,1.399e-05,+00000-0,+56708-3,0,999,3,7.1409,75.7192,0.7036931,169.3032,222.7328,2.57914296,17010,6,33499.50015954137,22458.76894170153,0.3629798456542954,0.16033350880483427,2.7412216079731965e-07
7169,26782,U,65108BA,20122.13567495,7.635e-05,+00000-0,+55079-3,0,999,2,26.4292,123.5848,0.371512,75.3421,322.3213,7.94541055,21987,7,10874.202088902757,10607.800146237609,0.5300253723473439,0.11006731833761718,5.016734683654288e-07
7172,26791,U,92019D,20121.33009895,0.00024378,00000-0,35969-3,0,999,8,34.6644,3.4848,0.37020190000000003,80.7665,318.4631,8.10855741,51814,9,10655.40954220117,10465.030379752574,0.6734783675644598,0.14159848495282237,3.9572087618547793e-07
7178,26809,U,88063J,20121.5967341,-2.25e-06,00000-0,-84715-7,0,999,4,6.5651,247.9408,0.6912472,91.6221,341.7861,2.67574328,19272,1,32290.09324093304,21914.921960194682,0.330433790631972,0.050894454535874496,8.867605803436911e-07
7213,26851,U,92058E,20122.13491904,9.827e-05,+00000-0,+21107-3,0,999,4,34.8651,64.6998,0.41148490000000004,135.9732,265.3915,7.31164194,48921,5,11816.771213498454,11212.254504888426,0.6869545508651534,0.14654206689312163,3.4992035975591653e-07
7222,26882,U,01033C,20121.66978862,1.655e-05,+00000-0,+48494-3,0,999,0,27.8082,175.0283,0.7160534000000001,261.6969,18.7911,2.42810166,741,5,35583.353622846254,23380.74328474867,0.6455535027398139,0.1716881777912115,1.1421171974644673e-07
7226,26898,U,01038A,20121.24005995,6.82e-06,+00000-0,+18420-3,0,999,9,28.6799,339.3524,0.7104055,174.7385,201.7033,2.51218239,16301,2,34392.40731243244,22856.09922344371,0.6602272948959974,0.18267198888972117,1.1041386174466434e-07
7227,26899,U,01038B,20122.23090611,1.01e-06,00000-0,13577-3,0,999,3,28.401,355.8709,0.7097252,168.4461,226.3975,2.50400119,16267,8,34504.77593423188,22905.856559354903,0.6525653037549543,0.16466100677223855,1.217602962584782e-07
7229,26901,U,01039B,20122.18825027,1.032e-05,00000-0,28634-3,0,999,3,7.2601,278.1013,0.6808926,34.8456,354.9118,2.88743063,17340,4,29922.796794602127,20830.283685294464,0.3570874580499031,0.162399858001897,2.931968262879028e-07
7285,27049,U,89062M,20122.06754611,-8e-08,+00000-0,+49668-3,0,999,9,8.3697,216.5297,0.6931531,151.3706,276.9219,2.67127379,7414,6,32344.1199937802,21939.360046911457,0.3538942758278816,0.09793688387534422,3.8700804503815086e-07
7286,27051,U,90065U,20122.12367667,-1.99e-06,00000-0,12884-3,0,999,6,18.1559,72.504,0.6888787,89.0847,342.54,2.73993091,19808,9,31533.641846465394,21571.30815003949,0.4778833167573422,0.11717195991882662,2.0929130438932385e-07
7328,27367,U,02003A,20122.25113229,6.678e-05,+00000-0,+33147-3,0,999,0,28.5766,166.1341,0.5119071,287.8937,24.2552,5.50201791,25160,5,15703.32947171377,13552.566830174525,0.6053816179313156,0.15648883748409692,2.5968880217153504e-07
7329,27368,U,02003B,20122.21136728,1.47e-06,+00000-0,+88353-3,0,999,0,29.0229,347.9882,0.7179649,65.2305,350.8825,2.33204527,15349,8,37049.023495157104,24018.446066724606,0.6529596103429692,0.03239526249582847,5.654230229656986e-07
7341,27390,U,02011B,20121.98867614,0.00020746,+00000-0,+51550-3,0,999,8,26.6398,20.6645,0.492238,243.7934,58.1804,5.87125137,26058,6,14715.772593466729,12978.239201443743,0.5696998587537608,0.16450406184864627,2.6464869559740075e-07
7344,27402,U,02015D,20121.97988982,-1.89e-06,+00000-0,+26770-3,0,999,3,3.782,356.3408,0.7073286999999999,202.6949,95.9257,2.50052946,16029,0,34552.68229473289,22927.053286002054,0.33167099833629127,0.11978999757332785,6.125638612588008e-07
7347,27405,U,90065W,20121.24811538,3.78e-06,+00000-0,+18098-3,0,999,3,17.8538,120.6147,0.6406599000000001,227.6804,56.6908,3.42996221,24241,6,25189.781901416347,18571.343972227533,0.4643720635499376,0.1409462624125004,2.1511015664269759e-07
7364,27446,U,02030B,20121.77742269,3.07e-06,+00000-0,+21308-3,0,999,5,0.5219,70.1414,0.7510366999999999,202.4098,12.0769,1.95053195,12691,5,44295.60869279788,27056.24430265723,0.33380698812230186,0.09754549994852134,4.27659888036035e-06
7382,27489,U,97005G,20121.95534712,5.212e-05,+00000-0,+38322-3,0,999,4,31.4541,279.5507,0.4871247,91.8514,320.2264,5.89554041,37364,9,14655.145074308803,12942.568643875416,0.6460779730621081,0.14159110575192974,3.008649947893903e-07
7388,27500,U,02038B,20122.37427572,2.387e-05,00000-0,45356-3,0,999,7,17.9118,181.2762,0.6639282,337.267,3.6102,3.13196797,15797,1,27586.489015084022,19731.405237227536,0.4780444838494475,0.1696863855892024,1.6743072462231515e-07
7438,27604,U,02057B,20122.47906888,2.016e-05,00000-0,10085-2,0,999,5,7.0566,159.8601,0.7183694,265.2964,17.1346,2.38723143,14507,9,36192.55297757202,23646.845194754344,0.36667599713865673,0.15874770023269674,2.6194560374483834e-07
7478,27671,U,91075G,20122.01239882,2.619e-05,00000-0,17359-2,0,999,0,7.0283,267.1306,0.546942,191.2705,148.3469,4.75400038,31091,5,18174.167668030354,14939.294293589131,0.2816672364342314,0.04140889035121689,1.5423392650382366e-06
7485,27684,U,03007B,20121.92589836,3.022e-05,00000-0,36606-3,0,999,4,6.5809,297.2435,0.6275108,353.0973,1.1887,3.65939449,17608,7,23610.463489548514,17786.755593725764,0.33629094920346164,0.1680641395601045,3.728704248549182e-07
7492,27692,U,03008B,20122.05537594,2.517e-05,00000-0,28315-3,0,999,9,25.2702,318.2022,0.6294723000000001,5.2471,359.1137,3.63571363,1041,8,23764.247900899718,17863.90683713131,0.5824184325973597,0.17172464784338756,1.685755337761849e-07
7511,27731,U,78087C,20122.21054272,5.086e-05,+00000-0,+41769-3,0,999,9,31.3141,122.1543,0.4525878,64.1022,8.2086,6.47841343,9779,3,13336.598680149375,12154.12739720068,0.6341055289818389,0.12880295844441295,3.581319139484486e-07
7520,27740,U,84114E,20122.47964128,0.00024428,-57374-5,76247-3,0,999,7,6.7604,243.4611,0.2576031,236.9227,198.0513,10.23680243,82679,9,8440.13553947236,8959.009760070292,0.1928005473113993,0.0972015630955257,1.0066388058079725e-06
7535,27763,U,00015B,20121.19706748,-1.8e-07,00000-0,70693-5,0,999,9,64.7207,336.9084,0.4723155,313.6679,15.7676,5.97924844,37511,9,14449.976592710373,12821.489807510578,1.1983256687045762,0.043024125937957444,1.0748382371832594e-06
7536,27764,U,00025D,20122.46539785,0.01319537,44256-5,15060-3,0,999,7,38.656,152.0619,0.033773199999999996,310.0916,47.0721,15.66166823,50582,0,5516.653700689458,6747.520471252654,0.6618409371717142,0.033371663452172816,2.9020021904480085e-06
7565,27821,U,03024B,20122.21955361,1.68e-05,+00000-0,+16269-3,0,999,0,49.5925,43.9735,0.491201,116.5303,301.4259,5.81223515,34118,6,14865.193470363978,13065.943413760127,0.9557224454883066,0.13711029764857968,3.105113259391034e-07
7591,27876,U,03040B,20120.42294017,3.448e-05,+00000-0,+31496-3,0,999,6,25.6499,220.1013,0.5461186,56.4689,344.3321,4.91118445,1581,7,17592.497467693356,14618.811308997736,0.5642614714674541,0.1515237949518788,2.465716984978041e-07
7613,27923,U,87079AG,20122.44194111,0.00030327,00000-0,42927-2,0,999,7,64.9278,274.4365,0.23806639999999998,298.6913,39.5169,10.40913822,36326,2,8300.398954640837,8859.850092625638,1.1374607313798641,0.04449803126088051,1.7143765475530958e-06
7662,28116,U,03056E,20121.66890791,6.6e-06,+00000-0,+14734-3,0,999,8,52.9387,287.9168,0.5761374,252.4068,39.533,4.39316922,25905,8,19666.89550829549,15746.508403806569,1.0334327221262913,0.13298308781193,2.4967873776178635e-07
7664,28118,U,03057B,20122.51060681,0.00061097,-16295-5,63785-3,0,999,3,28.0987,238.6009,0.2418014,348.663,6.7638,10.69224149,39498,5,8080.6255714301105,8702.760890788313,0.5304470526966693,0.11103816802891886,6.329086444025993e-07
7673,28144,U,76066D,20122.0825417,3.72e-06,+00000-0,+95464-4,0,999,2,24.592,68.9936,0.4520317,199.8135,134.7081,6.35771488,18110,6,13589.788411524363,12307.472074553329,0.5132638214542605,0.06811126486700625,6.718692688306241e-07
