,SatelliteCatalogNumber,ElsetClassification,InternationalDesignator,ElementSetEpoch(UTC),1stDerivativeMeanMotion,2ndDerivativeMeanMotion,b*DragTerm,ElementSetType,ElementNumber,Checksum,OrbitInclination,RightAscension,Eccentricity,ArgumentofPerigee,MeanAnomaly,MeanMotion,RevolutionNumberatEpoch,Checksum(2),OrbitalPeriod,SemiMajorAxis
45,152, U, 61015AN,20122.82235146,2.82e-06, 00000-0, 18580-3,0,999,6,66.5883,249.6159,161551,275.1838,83.0836,14.09223355,1063,7,6131.036623360533,7239.629415728955
46,154, U, 61015AQ,20122.19262461,8.7e-07, +00000-0, +10202-3,0,999,4,66.6607,22.4927,77000,112.0802,248.8482,14.04471673,220,4,6151.779467039491,7255.94921721457
47,155, U, 61015AR,20122.19401255,3.56e-06, +00000-0, +14057-3,0,999,2,66.8797,86.8006,48108,205.1072,154.7694,14.39241371,3808,2,6003.162620316311,7138.612385907442
48,158, U, 61015AU,20122.4907945,1.24e-06, 00000-0, 45989-3,0,999,7,67.0731,260.3973,607962,162.353,199.9661,12.65237697,72217,8,6828.756383473452,7778.958872904564
49,159, U, 61015AV,20122.23022331,-7.2e-07, +00000-0, -85174-5,0,999,2,65.5228,138.3418,381338,290.7151,65.3395,13.02052751,78939,7,6635.675853658251,7631.6276191649085
50,162, U, 61017A,20122.15973071,-1.35e-06, 00000-0, 81053-5,0,999,6,47.8993,94.4747,45484,249.813,109.7867,14.44054019,9349,3,5983.155675840407,7122.742831851262
51,163, U, 61018A,20122.13870453,2e-07, +00000-0, +66030-2,0,999,3,91.1936,107.4248,102921,91.9096,269.3567,8.91835848,91447,3,9687.881485562351,9821.54039694411
52,167, U, 61017D,20122.10744792,-3.26e-06, +00000-0, -73700-4,0,999,4,47.8444,159.5005,92506,312.1863,47.1193,14.22752836,4588,8,6072.734336830377,7193.660163326959
53,172, U, 61015AY,20122.19932799,1.14e-06, +00000-0, +23932-3,0,999,7,67.0687,242.686,137778,215.9035,143.2712,13.57465091,90119,3,6364.804559088288,7422.504064451543
54,177, U, 61015BB,20122.25361245,2.03e-06, +00000-0, +14121-3,0,999,0,66.6601,155.1276,121625,217.1181,142.1454,14.13473047,2476,1,6112.603291826335,7225.111212899802
55,178, U, 61015BC,20122.28864547,-2e-07, 00000-0, 42909-4,0,999,1,66.8662,66.8946,76499,155.8026,204.6679,13.92361503,98607,0,6205.28503652546,7297.961243122838
56,188, U, 61018C,20121.90526077,2e-08, 00000-0, 47501-3,0,999,7,91.1879,110.1103,105001,328.5799,30.8833,8.93802025,91853,9,9666.570178110753,9807.131558292227
57,192, U, 61028A,20122.0859101,2.2e-07, +00000-0, +11645-1,0,999,2,95.8511,112.9198,139333,358.5543,1.4894,8.67760537,85402,3,9956.663885488491,10002.371025226568
58,194, U, 61028C,20121.97585439,1.4e-07, 00000-0, 77198-2,0,999,6,95.8335,134.653,374657,230.0555,126.6816,8.70051116,85888,9,9930.451028810588,9984.807853422093
59,195, U, 61028D,20121.37723053,-4e-08, +00000-0, -44653-3,0,999,9,95.8668,95.5437,145861,79.4445,282.2801,8.6561624,84932,7,9981.328446425636,10018.882736976997
